05 Beat it - Michael Jackson - Thriller (25th Anniversary Edition) [HD] http://t.co/A4K2B86PBv	@number beat it michael jackson thriller 25th anniversary edition [ hd ] @link	@number,beat,it,michael,jackson,thriller,25th,anniversary,edition,[,hd,],@link	michael jackson	0
VIRGO OF THE DAY- We wished our fellow Virgo Captain Michael Jackson a Happy Birthday on the 29th now it's time... http://t.co/fF7I7D7ItV	virgo of the day we wished our fellow virgo captain michael jackson a happy birthday on the @number now it's time @link	virgo,of,the,day,we,wished,our,fellow,virgo,captain,michael,jackson,a,happy,birthday,on,the,@number,now,it's,time,@link	michael jackson	1
@juliaanapp you may say oh it is August 29 Liam from One Direction's birthday but no it's also Michael Jackson birthday	@juliaanapp you may say oh it is august @number liam from @number direction's birthday but no it's also michael jackson birthday	@juliaanapp,you,may,say,oh,it,is,august,@number,liam,from,@number,direction's,birthday,but,no,it's,also,michael,jackson,birthday	michael jackson	1
Michael Jackson was the man, I remember watching the Thriller &amp; Smooth Criminal music video for the 1st time &amp; it was lit	michael jackson was the man i remember watching the thriller & smooth criminal music video for the @number time & it was lit	michael,jackson,was,the,man,i,remember,watching,the,thriller,&,smooth,criminal,music,video,for,the,@number,time,&,it,was,lit	michael jackson	1
ALDUB RADIO MaAlden Monday NP: I Just Can't Stop Loving You by Michael Jackson! This with Spanish and French versions! #ALDUBTheREVELATION	aldub radio maiden monday np i just cannot stop loving you by michael jackson this with spanish and french versions aldubtherevelation	aldub,radio,maiden,monday,np,i,just,cannot,stop,loving,you,by,michael,jackson,this,with,spanish,and,french,versions,aldubtherevelation	michael jackson	1
#NP Michael Jackson - Human Nature on #BrunchInTheCiti w/ @OsKwame  #tunein  5th of 7 tracks from the Thriller album http://t.co/pDIlytllfb	np michael jackson human nature on brunchintheciti w / @oskwame tunein @number of @number tracks from the thriller album @link	np,michael,jackson,human,nature,on,brunchintheciti,w,/,@oskwame,tunein,@number,of,@number,tracks,from,the,thriller,album,@link	michael jackson	1
Happy 28th anniversary to the album that generated 5 #1's just like katy's teenage dream a.k.a. Bad (Michael Jackson)	happy @number anniversary to the album that generated @number @number s just like katy's teenage dream a k a bad michael jackson	happy,@number,anniversary,to,the,album,that,generated,@number,@number,s,just,like,katy's,teenage,dream,a,k,a,bad,michael,jackson	michael jackson	1
Today is the 28th Anniversary of Michael Jackson releasing the "Bad" album, what's your favorite song from it?	today is the 28th anniversary of michael jackson releasing the bad album what's your favorite song from it	today,is,the,28th,anniversary,of,michael,jackson,releasing,the,bad,album,what's,your,favorite,song,from,it	michael jackson	1
The Weeknd may be Michael Jackson reincarnated... I'm just saying there are a lot of similarities musically #butthatsnoneofmybusiness	the weekend may be michael jackson reincarnated ism just saying there are a lot of similarities musically butthatsnoneofmybusiness	the,weekend,may,be,michael,jackson,reincarnated,ism,just,saying,there,are,a,lot,of,similarities,musically,butthatsnoneofmybusiness	michael jackson	1
@OU_Football Eric, I heard your love for Michael Jackson. I got to see him in concert from the 4th row - his sweat hit me when he spun.	@ou_football eric i heard your love for michael jackson i got to see him in concert from the @number row his sweat hit me when he spun	@ou_football,eric,i,heard,your,love,for,michael,jackson,i,got,to,see,him,in,concert,from,the,@number,row,his,sweat,hit,me,when,he,spun	michael jackson	1
@Pearsey you got that from his website. My brothers mate at school once said his 2nd cousin was Michael Jackson. A similar tale to this...	@pearsey you got that from his website my brothers mate at school once said his @number cousin was michael jackson a similar tale to this	@pearsey,you,got,that,from,his,website,my,brothers,mate,at,school,once,said,his,@number,cousin,was,michael,jackson,a,similar,tale,to,this	michael jackson	1
@Pearsey I actually believed that his 2nd cousin was Michael Jackson. Gutted when I found out he wasn't - I was 26 by then...	@pearsey i actually believed that his @number cousin was michael jackson gutted when i found out he was_not i was @number by then	@pearsey,i,actually,believed,that,his,@number,cousin,was,michael,jackson,gutted,when,i,found,out,he,was_not,i,was,@number,by,then	michael jackson	0
Very sad news Dr. Wayne Dyer passes away - Ever the Vanguard for Michael Jackson - May God grant him Peace.  https://t.co/bKrxnEou0l	very sad news dr wayne dyer passes away ever the vanguard for michael jackson may god grant him peace @link	very,sad,news,dr,wayne,dyer,passes,away,ever,the,vanguard,for,michael,jackson,may,god,grant,him,peace,@link	michael jackson	1
#OnThisDay1987 CBS records shipped out the largest pre-order in the company's history for Michael Jackson's album Bad http://t.co/v4fkyOx2eW	onthisday @number cbs records shipped out the largest recorder in the company's history for michael jackson album bad @link	onthisday,@number,cbs,records,shipped,out,the,largest,recorder,in,the,company's,history,for,michael,jackson,album,bad,@link	michael jackson	1
I just texted my friend that I'd be busy all day tomorrow preparing to roast Michael Jackson tomorrow night.   Life is awesome.	i just tested my friend that i'd be busy all day tomorrow preparing to roast michael jackson tomorrow night life is awesome	i,just,tested,my,friend,that,i'd,be,busy,all,day,tomorrow,preparing,to,roast,michael,jackson,tomorrow,night,life,is,awesome	michael jackson	1
mom: "I say 23 because your birthday is on the 23rd" me: no you say it because mj  mom: michael jackson? me: did he play ball too? mom: oh.	mom i say @number because your birthday is on the @number me no you say it because mj mom michael jackson me did he play ball too mom oh	mom,i,say,@number,because,your,birthday,is,on,the,@number,me,no,you,say,it,because,mj,mom,michael,jackson,me,did,he,play,ball,too,mom,oh	michael jackson	1
Jay Z 'pays tribute to Michael Jackson as he joins Instagram' with touching photo, it may be his last http://t.co/dQHJT59Ciy	jay z pays tribute to michael jackson as he joins instagram with touching photo it may be his last @link	jay,z,pays,tribute,to,michael,jackson,as,he,joins,instagram,with,touching,photo,it,may,be,his,last,@link	michael jackson	1
@autoengmike @Minutemaniac @ImStillARebel @coltgovt45 @typewrittenlove You're a better dancer than Michael Jackson.  C"mon, spill the beans	@autoengmike @minutemaniac @imstillarebel @coltgovt45 @typewrittenlove you're a better dancer than michael jackson c mon spill the beans	@autoengmike,@minutemaniac,@imstillarebel,@coltgovt45,@typewrittenlove,you're,a,better,dancer,than,michael,jackson,c,mon,spill,the,beans	michael jackson	1
I was sat with my auntie who has seen Michael Jackson live &amp; I had to watch a shitty Bruno Mars tribute try to sing Billie Jean	i was sat with my auntie who has seen michael jackson live & i had to watch a shitty bruno mars tribute try to sing willie jean	i,was,sat,with,my,auntie,who,has,seen,michael,jackson,live,&,i,had,to,watch,a,shitty,bruno,mars,tribute,try,to,sing,willie,jean	michael jackson	1
@Glen_Hansard 1st record, &amp; best memory of buying an album with my own $, was Michael Jackson's Thriller. In that moment, I was a rockstar.	@glen_hansard @number record & best memory of buying an album with my own was michael jackson thriller in that moment i was a rockstar	@glen_hansard,@number,record,&,best,memory,of,buying,an,album,with,my,own,was,michael,jackson,thriller,in,that,moment,i,was,a,rockstar	michael jackson	1
#TodayInMusicHistory Michael Jackson earned his 12th and last solo #1 during his lifetime with the song "You Are... http://t.co/Nlw0yhsCSk	todayinmusichistory michael jackson earned his @number and last solo @number during his lifetime with the song you are @link	todayinmusichistory,michael,jackson,earned,his,@number,and,last,solo,@number,during,his,lifetime,with,the,song,you,are,@link	michael jackson	1
